init_omega completed.
init_props completed.
randomize_u completed
init_profile_ux completed.
#  ite wclock  ts time  resSolver  max(ux) 
1220 1.69560181e+02 3.08411e-03 2.94526e+00 9.16934e-05 1.03941e+02
1230 1.70975487e+02 2.96692e-03 2.97570e+00 8.91070e-05 1.02799e+02
1240 1.72362261e+02 2.85104e-03 3.00548e+00 9.47508e-05 1.06712e+02
1250 1.73770415e+02 2.97334e-03 3.03539e+00 9.29162e-05 1.13761e+02
1260 1.75187036e+02 2.78448e-03 3.06450e+00 9.16348e-05 1.16544e+02
1270 1.76588359e+02 2.74632e-03 3.09318e+00 9.32085e-05 1.14729e+02
1280 1.77978382e+02 2.67522e-03 3.12048e+00 9.61964e-05 1.18614e+02
1290 1.79370867e+02 2.62551e-03 3.14675e+00 9.43121e-05 1.11499e+02
1300 1.80758476e+02 2.48450e-03 3.17173e+00 8.77667e-05 1.15371e+02
1310 1.82145006e+02 2.28885e-03 3.19634e+00 9.30494e-05 1.20673e+02
1320 1.83532839e+02 2.53527e-03 3.22176e+00 9.51283e-05 1.14210e+02
1330 1.84920494e+02 2.55309e-03 3.24691e+00 9.65360e-05 1.15837e+02
1340 1.86309520e+02 2.50058e-03 3.27177e+00 9.86937e-05 1.19336e+02
1350 1.87715296e+02 2.40930e-03 3.29596e+00 9.84053e-05 1.18318e+02
1360 1.89119171e+02 2.29922e-03 3.32007e+00 8.42984e-05 1.11162e+02
1370 1.90529788e+02 2.51855e-03 3.34437e+00 9.92327e-05 1.19503e+02
1380 1.91926134e+02 2.55062e-03 3.36967e+00 9.46180e-05 1.18083e+02
1390 1.93315349e+02 2.38480e-03 3.39411e+00 9.44617e-05 1.22938e+02
1400 1.94693814e+02 2.47229e-03 3.41757e+00 8.84842e-05 1.12715e+02
1410 1.96066422e+02 2.28525e-03 3.44056e+00 9.94719e-05 1.18900e+02
1420 1.97447031e+02 2.42988e-03 3.46483e+00 9.03757e-05 1.12078e+02
1430 1.98825586e+02 2.55074e-03 3.48972e+00 8.85276e-05 1.03591e+02
1440 2.00253679e+02 2.53310e-03 3.51446e+00 9.93769e-05 1.04168e+02
1450 2.01644430e+02 2.64723e-03 3.53899e+00 9.96413e-05 1.12724e+02
1460 2.03002872e+02 2.48009e-03 3.56520e+00 9.11459e-05 1.06829e+02
1470 2.04386219e+02 2.54074e-03 3.59066e+00 9.95909e-05 1.06676e+02
1480 2.05773242e+02 2.77311e-03 3.61718e+00 9.17707e-05 1.03043e+02
1490 2.07125177e+02 2.79289e-03 3.64337e+00 9.99309e-05 1.05240e+02
1500 2.08495500e+02 2.87911e-03 3.67116e+00 8.86571e-05 1.08261e+02
1510 2.09889593e+02 2.81416e-03 3.69896e+00 9.92689e-05 1.01106e+02
1520 2.11269099e+02 2.77116e-03 3.72655e+00 9.64201e-05 9.57509e+01
1530 2.12638920e+02 2.86035e-03 3.75427e+00 9.94512e-05 9.30742e+01
1540 2.13999031e+02 2.74556e-03 3.78327e+00 8.74162e-05 9.31211e+01
1550 2.15373298e+02 2.91306e-03 3.81186e+00 9.50168e-05 1.00100e+02
1560 2.16725253e+02 2.91973e-03 3.84013e+00 9.82841e-05 9.18877e+01
1570 2.18082685e+02 2.87830e-03 3.86831e+00 9.13929e-05 9.20187e+01
1580 2.19440635e+02 3.09436e-03 3.89798e+00 9.80821e-05 9.03214e+01
1590 2.20797814e+02 2.86083e-03 3.92669e+00 9.84771e-05 9.26425e+01
1600 2.22157927e+02 3.11212e-03 3.95695e+00 9.67926e-05 8.79869e+01
1610 2.23503922e+02 3.09815e-03 3.98784e+00 9.82439e-05 8.72258e+01
1620 2.24854071e+02 3.25690e-03 4.01938e+00 8.42154e-05 8.69017e+01
1630 2.26199806e+02 3.02690e-03 4.05003e+00 9.78197e-05 8.42615e+01
1640 2.27527810e+02 3.28984e-03 4.08194e+00 9.69969e-05 8.72003e+01
1650 2.28895374e+02 3.37600e-03 4.11567e+00 8.44199e-05 8.83096e+01
1660 2.30256018e+02 3.40094e-03 4.14998e+00 9.27825e-05 8.96125e+01
1670 2.31648282e+02 3.41831e-03 4.18372e+00 8.60364e-05 8.65413e+01
1680 2.33001066e+02 3.44919e-03 4.21763e+00 8.46726e-05 8.83192e+01
1690 2.34358262e+02 3.15093e-03 4.25082e+00 9.73478e-05 9.00674e+01
1700 2.35734003e+02 2.44237e-03 4.27847e+00 9.17073e-05 9.92060e+01
1710 2.37045305e+02 2.82498e-03 4.30484e+00 9.71862e-05 9.34703e+01
1720 2.38392881e+02 3.29395e-03 4.33633e+00 9.67146e-05 9.37395e+01
1730 2.39756863e+02 3.25025e-03 4.36866e+00 9.01404e-05 9.55520e+01
1740 2.41121906e+02 3.10249e-03 4.39992e+00 9.95079e-05 9.84359e+01
1750 2.42498689e+02 3.08505e-03 4.43046e+00 9.32949e-05 9.56562e+01
1760 2.43871972e+02 3.19843e-03 4.46084e+00 9.66713e-05 1.00453e+02
1770 2.45256136e+02 3.04963e-03 4.49240e+00 8.98442e-05 9.62985e+01
1780 2.46643383e+02 3.08981e-03 4.52308e+00 9.32024e-05 9.64012e+01
1790 2.48026393e+02 2.92927e-03 4.55360e+00 9.70674e-05 9.88126e+01
1800 2.49399791e+02 2.82335e-03 4.58260e+00 9.44336e-05 1.08508e+02
1810 2.50981554e+02 2.85590e-03 4.61157e+00 9.88991e-05 1.05993e+02
1820 2.52448288e+02 2.63886e-03 4.63867e+00 9.44006e-05 1.07232e+02
1830 2.53821334e+02 2.59644e-03 4.66511e+00 9.51605e-05 1.06569e+02
1840 2.55228848e+02 2.49064e-03 4.69166e+00 9.87052e-05 1.08786e+02
1850 2.56619995e+02 2.54450e-03 4.71686e+00 8.91074e-05 1.19399e+02
