================================================================================
HPC^2 EXECUTION PARAMETERS
================================================================================
                       profile: true
                       overlap: true
                           thr: [4]
Default used for parameters:
                           upd: 1
                           soc: 0
                           dev: 1
                           arc: []
                           str: []
                           wgt: []
                           smf: []
--------------------------------------------------------------------------------
 dev[0]: arc=0, thr=4, wgt=1.000000, smf=1
init_omega completed.
init_props completed.
randomize_u completed
init_profile_ux completed.
 rank 0, part 0: inn 122880, ifc 8192, hal 8192; send 8192; swap 0; recv 8192
 rank 0, part 0: inn 393216, ifc 8192, hal 0; send 0; swap 0; recv 0
 rank 0, part 0: inn 126976, ifc 8192, hal 8192; send 8192; swap 0; recv 8192
 rank 0, part 0: inn 4096, ifc 0, hal 0; send 0; swap 0; recv 0
 rank 0, part 0: inn 2, ifc 3, hal 0; send 0; swap 0; recv 0
dim_: 1, ncmp: 1, dim: 1
#  ite wclock  ts time  resSolver  max(ux) 
1810 2.27021339e+03 3.70282e-03 5.37739e+00 9.58191e-05 6.57753e+01
1820 2.28246461e+03 3.48827e-03 5.41392e+00 8.72462e-05 6.90043e+01
1830 2.29334488e+03 3.54294e-03 5.44765e+00 8.92505e-05 6.97899e+01
1840 2.30452185e+03 3.81141e-03 5.48329e+00 9.24187e-05 6.56688e+01
1850 2.31622136e+03 3.43026e-03 5.51933e+00 8.42656e-05 6.69674e+01
1860 2.32849717e+03 3.57359e-03 5.55466e+00 8.80655e-05 6.83763e+01
1870 2.34084499e+03 3.29674e-03 5.58860e+00 8.10587e-05 6.81157e+01
1880 2.35337726e+03 3.80492e-03 5.62270e+00 8.96754e-05 6.34484e+01
1890 2.36581280e+03 3.69572e-03 5.66112e+00 8.14169e-05 6.33659e+01
1900 2.37802988e+03 3.45901e-03 5.69719e+00 8.13858e-05 6.70114e+01
1910 2.39006991e+03 3.21754e-03 5.73316e+00 8.06308e-05 6.95014e+01
1920 2.40228386e+03 3.53631e-03 5.76636e+00 8.74440e-05 6.80774e+01
1930 2.41462079e+03 3.48441e-03 5.80103e+00 8.62030e-05 6.86968e+01
1940 2.42682375e+03 3.18904e-03 5.83450e+00 8.18485e-05 6.85704e+01
1950 2.43911417e+03 3.29564e-03 5.86718e+00 8.36670e-05 6.82883e+01
1960 2.44962636e+03 3.44458e-03 5.89953e+00 8.15181e-05 6.47924e+01
1970 2.46073961e+03 3.39158e-03 5.93405e+00 8.50417e-05 6.53287e+01
1980 2.47313898e+03 3.39644e-03 5.96707e+00 8.18945e-05 7.56166e+01
1990 2.48564312e+03 3.47153e-03 6.00189e+00 8.12767e-05 6.63839e+01
2000 2.49831531e+03 3.64747e-03 6.03829e+00 8.52182e-05 6.77940e+01
2010 2.51074626e+03 3.71938e-03 6.07513e+00 8.74704e-05 6.71273e+01
2020 2.52328877e+03 3.43523e-03 6.11273e+00 7.96092e-05 6.78611e+01
