init_omega completed.
init_props completed.
randomize_u completed
init_profile_ux completed.
#  ite wclock  ts time  resSolver  max(ux) 
2050 3.66477550e+02 3.30266e-04 6.34075e-01 5.31818e-06 1.06095e+02
2060 3.68128637e+02 3.34734e-04 6.37440e-01 6.21120e-06 1.05990e+02
2070 3.69775082e+02 3.28312e-04 6.40789e-01 8.37141e-06 1.08279e+02
2080 3.71423297e+02 3.30497e-04 6.44056e-01 6.03090e-06 1.06399e+02
2090 3.73064284e+02 3.42631e-04 6.47392e-01 4.37511e-06 1.02297e+02
2100 3.74728975e+02 3.44075e-04 6.50857e-01 5.57932e-06 1.03820e+02
2110 3.76377963e+02 3.26423e-04 6.54234e-01 5.64662e-06 1.09057e+02
2120 3.78028978e+02 3.11587e-04 6.57424e-01 4.61397e-06 1.14259e+02
2130 3.79672540e+02 3.14092e-04 6.60554e-01 4.52281e-06 1.13331e+02
2140 3.81319851e+02 3.21289e-04 6.63701e-01 5.55813e-06 1.09587e+02
2150 3.82964375e+02 3.31611e-04 6.67010e-01 5.46289e-06 1.07106e+02
2160 3.84615185e+02 3.44793e-04 6.70365e-01 5.62900e-06 1.02503e+02
2170 3.86258684e+02 3.37139e-04 6.73776e-01 4.87998e-06 1.05309e+02
2180 3.87908948e+02 3.33611e-04 6.77141e-01 5.87879e-06 1.07040e+02
2190 3.89565839e+02 3.28943e-04 6.80435e-01 6.48735e-06 1.07756e+02
2200 3.91211734e+02 3.41638e-04 6.83797e-01 7.31431e-06 1.03523e+02
2210 3.92865832e+02 3.38305e-04 6.87227e-01 5.67760e-06 1.05354e+02
2220 3.94529840e+02 3.36263e-04 6.90573e-01 4.46216e-06 1.04514e+02
2230 3.96180292e+02 3.49447e-04 6.94036e-01 4.61386e-06 1.02215e+02
2240 3.97836200e+02 3.51848e-04 6.97506e-01 5.50150e-06 1.00294e+02
2250 3.99494368e+02 3.44888e-04 7.01067e-01 2.82374e-06 1.03583e+02
2260 4.01151687e+02 3.49952e-04 7.04501e-01 6.02787e-06 1.01336e+02
2270 4.02814194e+02 3.54890e-04 7.08039e-01 6.66525e-06 1.00014e+02
2280 4.04469408e+02 3.47043e-04 7.11579e-01 4.67588e-06 1.02560e+02
2290 4.06126289e+02 3.42253e-04 7.14994e-01 6.40879e-06 1.03933e+02
2300 4.07776014e+02 3.46403e-04 7.18437e-01 3.25666e-06 1.02598e+02
2310 4.09421190e+02 3.46783e-04 7.21885e-01 4.23856e-06 1.02719e+02
2320 4.11074536e+02 3.55406e-04 7.25350e-01 4.42762e-06 9.85976e+01
2330 4.12716873e+02 3.53100e-04 7.28934e-01 4.93654e-06 1.00759e+02
2340 4.14370338e+02 3.57550e-04 7.32499e-01 4.46430e-06 9.88172e+01
2350 4.16021358e+02 3.56767e-04 7.36067e-01 4.27314e-06 9.91710e+01
2360 4.17661000e+02 3.48720e-04 7.39625e-01 4.44776e-06 1.02025e+02
2370 4.19301711e+02 3.63472e-04 7.43146e-01 5.76199e-06 9.67670e+01
2380 4.20939230e+02 3.63888e-04 7.46791e-01 5.40994e-06 9.74780e+01
2390 4.22585032e+02 3.58766e-04 7.50457e-01 5.97311e-06 9.96695e+01
2400 4.24277456e+02 3.52437e-04 7.53982e-01 5.08166e-06 1.00117e+02
2410 4.25978781e+02 3.60154e-04 7.57583e-01 6.41777e-06 9.98797e+01
2420 4.27619966e+02 3.36771e-04 7.61046e-01 4.28088e-06 1.05601e+02
2430 4.29274350e+02 3.48154e-04 7.64439e-01 4.57973e-06 1.01044e+02
2440 4.33291717e+02 3.61503e-04 7.68033e-01 4.31329e-06 9.83100e+01
2450 4.35383754e+02 3.73394e-04 7.71690e-01 4.46533e-06 9.48413e+01
2460 4.37024917e+02 3.77145e-04 7.75455e-01 4.37607e-06 9.41652e+01
2470 4.38666265e+02 3.66698e-04 7.79183e-01 3.61879e-06 9.67555e+01
2480 4.40310079e+02 3.80628e-04 7.82891e-01 3.47021e-06 9.40057e+01
2490 4.41965407e+02 3.68706e-04 7.86609e-01 3.24965e-06 9.68619e+01
2500 4.43614699e+02 3.62278e-04 7.90251e-01 3.49089e-06 9.78801e+01
2510 4.45255113e+02 3.65009e-04 7.93908e-01 4.20154e-06 9.71728e+01
2520 4.46896976e+02 3.62860e-04 7.97579e-01 4.27706e-06 9.85310e+01
2530 4.48537979e+02 3.59641e-04 8.01160e-01 4.94394e-06 9.83061e+01
2540 4.50194554e+02 3.89409e-04 8.04892e-01 5.18458e-06 9.16156e+01
2550 4.51840987e+02 3.79114e-04 8.08742e-01 4.26020e-06 9.38385e+01
2560 4.53491807e+02 3.87596e-04 8.12558e-01 3.96291e-06 9.12861e+01
2570 4.55151666e+02 3.94346e-04 8.16489e-01 5.04747e-06 9.02977e+01
2580 4.56809213e+02 3.69047e-04 8.20305e-01 6.13780e-06 9.64684e+01
2590 4.58455552e+02 3.68905e-04 8.23985e-01 5.62513e-06 9.57581e+01
2600 4.60099814e+02 3.70353e-04 8.27702e-01 4.21709e-06 9.57710e+01
2610 4.61747192e+02 3.83234e-04 8.31480e-01 3.89880e-06 9.28986e+01
2620 4.63382491e+02 3.84855e-04 8.35311e-01 3.27467e-06 9.22533e+01
2630 4.65019188e+02 3.57787e-04 8.39065e-01 3.88389e-06 1.00010e+02
