init_omega completed.
init_props completed.
randomize_u completed
init_profile_ux completed.
#  ite wclock  ts time  resSolver  max(ux) 
2200 3.43984356e+02 3.23126e-04 6.88471e-01 5.66677e-06 1.09581e+02
2210 3.45615727e+02 3.45902e-04 6.91776e-01 6.28999e-06 1.01166e+02
2220 3.47213823e+02 3.49616e-04 6.95266e-01 9.34446e-06 1.01857e+02
2230 3.48735635e+02 3.52600e-04 6.98745e-01 7.64544e-06 1.00557e+02
2240 3.50152490e+02 3.49402e-04 7.02294e-01 9.01211e-06 1.01655e+02
2250 3.51603601e+02 3.41826e-04 7.05778e-01 9.15813e-06 1.04614e+02
2260 3.53449949e+02 3.34027e-04 7.09132e-01 5.69719e-06 1.05876e+02
2270 3.55074239e+02 3.59378e-04 7.12560e-01 4.81268e-06 9.75576e+01
2280 3.56497192e+02 3.49345e-04 7.16147e-01 4.64310e-06 1.01785e+02
2290 3.58020803e+02 3.55461e-04 7.19641e-01 3.37281e-06 9.91697e+01
2300 3.59428816e+02 3.57799e-04 7.23251e-01 4.43132e-06 9.95928e+01
2310 3.63973641e+02 3.51143e-04 7.26786e-01 2.22542e-06 1.01243e+02
2320 3.65573820e+02 3.45638e-04 7.30297e-01 1.64942e-06 1.03137e+02
2330 3.69739797e+02 3.45354e-04 7.33750e-01 2.12040e-06 1.02752e+02
2340 3.73308742e+02 3.52469e-04 7.37208e-01 4.12695e-06 9.97074e+01
2350 3.75591956e+02 3.68114e-04 7.40844e-01 2.65148e-06 9.66645e+01
2360 3.76886145e+02 3.65136e-04 7.44519e-01 3.95740e-06 9.76944e+01
2370 3.78195243e+02 3.71053e-04 7.48162e-01 9.06126e-06 9.53107e+01
2380 3.79479374e+02 3.54540e-04 7.51787e-01 4.71015e-06 1.00028e+02
2390 3.80803358e+02 3.60840e-04 7.55371e-01 3.80482e-06 9.96827e+01
2400 3.82056322e+02 3.39195e-04 7.58844e-01 3.73586e-06 1.04711e+02
2410 3.83186051e+02 3.53596e-04 7.62290e-01 3.65034e-06 1.00019e+02
2420 3.84397001e+02 3.57731e-04 7.65895e-01 5.47092e-06 9.96489e+01
2430 3.85691852e+02 3.67304e-04 7.69477e-01 2.60451e-06 9.58068e+01
2440 3.88060423e+02 3.63221e-04 7.73194e-01 3.89878e-06 9.79789e+01
2450 3.89177230e+02 3.70912e-04 7.76829e-01 2.29966e-06 9.56216e+01
2460 3.90370338e+02 3.67344e-04 7.80510e-01 1.86946e-06 9.64279e+01
2470 3.91419042e+02 3.64019e-04 7.84172e-01 1.99088e-06 9.72262e+01
2480 3.93566095e+02 3.74858e-04 7.87886e-01 2.94380e-06 9.44958e+01
2490 3.94603030e+02 3.67793e-04 7.91612e-01 3.13306e-06 9.65380e+01
2500 3.95642713e+02 3.78494e-04 7.95349e-01 4.46500e-06 9.38011e+01
2510 3.96700329e+02 3.80365e-04 7.99168e-01 4.38728e-06 9.37372e+01
2520 3.97739967e+02 3.78821e-04 8.02948e-01 3.50531e-06 9.34451e+01
2530 3.98788734e+02 3.86873e-04 8.06781e-01 4.51462e-06 9.14298e+01
2540 3.99828855e+02 3.89165e-04 8.10670e-01 3.34452e-06 9.15782e+01
2550 4.00856709e+02 3.77491e-04 8.14495e-01 3.74723e-06 9.40733e+01
2560 4.01886682e+02 3.85805e-04 8.18313e-01 4.48518e-06 9.23991e+01
2570 4.02918177e+02 3.85728e-04 8.22141e-01 4.30890e-06 9.14888e+01
2580 4.03944720e+02 3.92397e-04 8.26057e-01 7.56046e-06 9.13162e+01
2590 4.04975517e+02 3.76236e-04 8.29883e-01 4.51462e-06 9.44880e+01
2600 4.06001359e+02 3.84300e-04 8.33663e-01 3.88339e-06 9.18833e+01
2610 4.07023367e+02 4.00163e-04 8.37619e-01 4.03080e-06 8.88441e+01
2620 4.08049889e+02 4.02478e-04 8.41629e-01 4.07359e-06 8.84748e+01
2630 4.09094203e+02 3.87459e-04 8.45589e-01 3.93725e-06 9.18746e+01
2640 4.10142460e+02 3.88328e-04 8.49462e-01 5.08435e-06 9.14899e+01
2650 4.11168365e+02 3.82339e-04 8.53338e-01 5.39352e-06 9.30568e+01
2660 4.12209809e+02 3.90047e-04 8.57186e-01 4.64973e-06 9.08740e+01
2670 4.13237981e+02 3.82004e-04 8.61058e-01 3.61732e-06 9.29532e+01
2680 4.14262762e+02 3.83208e-04 8.64904e-01 3.41563e-06 9.26089e+01
2690 4.15300643e+02 3.92334e-04 8.68761e-01 3.57904e-06 9.01169e+01
2700 4.16323591e+02 3.94107e-04 8.72665e-01 3.52916e-06 8.95604e+01
2710 4.17350882e+02 3.76556e-04 8.76543e-01 3.21234e-06 9.46026e+01
2720 4.18375056e+02 3.85696e-04 8.80319e-01 4.01904e-06 9.14519e+01
2730 4.19397219e+02 4.01273e-04 8.84266e-01 4.38824e-06 8.81039e+01
2740 4.20440568e+02 4.00014e-04 8.88293e-01 4.19202e-06 8.95847e+01
2750 4.21464600e+02 3.84774e-04 8.92209e-01 4.06037e-06 9.28694e+01
2760 4.22488734e+02 3.92493e-04 8.96038e-01 4.09603e-06 8.94031e+01
2770 4.23515000e+02 3.96935e-04 9.00029e-01 4.30095e-06 8.94231e+01
2780 4.24537259e+02 4.05085e-04 9.04016e-01 5.49475e-06 8.73404e+01
2790 4.25581253e+02 3.94945e-04 9.08059e-01 4.88923e-06 9.02414e+01
2800 4.26603451e+02 3.94388e-04 9.11992e-01 4.90345e-06 9.05279e+01
2810 4.27629819e+02 3.85102e-04 9.15888e-01 4.16328e-06 9.22300e+01
2820 4.28651104e+02 3.71994e-04 9.19680e-01 3.72515e-06 9.52781e+01
2830 4.29673756e+02 3.98408e-04 9.23477e-01 4.97448e-06 8.97991e+01
2840 4.30698241e+02 3.84660e-04 9.27377e-01 4.11711e-06 9.23857e+01
2850 4.31726459e+02 3.98936e-04 9.31262e-01 4.14844e-06 8.83736e+01
2860 4.33076698e+02 3.97260e-04 9.35293e-01 3.61090e-06 8.95603e+01
2870 4.34581194e+02 4.05130e-04 9.39293e-01 4.11448e-06 8.74541e+01
2880 4.35662568e+02 3.99580e-04 9.43331e-01 3.74006e-06 8.93616e+01
2890 4.36704685e+02 3.86885e-04 9.47264e-01 3.00088e-06 9.20930e+01
2900 4.37805505e+02 3.81860e-04 9.51084e-01 3.05137e-06 9.27019e+01
2910 4.38855782e+02 4.01753e-04 9.55017e-01 3.08778e-06 8.88680e+01
2920 4.39902924e+02 3.83617e-04 9.58932e-01 3.06362e-06 9.26498e+01
2930 4.40994424e+02 4.00766e-04 9.62815e-01 4.88413e-06 8.78726e+01
2940 4.42051986e+02 4.14193e-04 9.66871e-01 5.38916e-06 8.54447e+01
2950 4.43128676e+02 4.09410e-04 9.71020e-01 3.48145e-06 8.68488e+01
2960 4.44192326e+02 4.14334e-04 9.75134e-01 3.69951e-06 8.54815e+01
2970 4.45233653e+02 3.93586e-04 9.79177e-01 1.77313e-06 9.03598e+01
2980 4.46274314e+02 3.88418e-04 9.83112e-01 2.39301e-06 9.15343e+01
2990 4.47321339e+02 3.91466e-04 9.86986e-01 2.36857e-06 9.01077e+01
3000 4.48366773e+02 4.02914e-04 9.90979e-01 3.38538e-06 8.88281e+01
3010 4.49404912e+02 3.89499e-04 9.94923e-01 3.19286e-06 9.12114e+01
