init_omega completed.
init_props completed.
randomize_u completed
init_profile_ux completed.
#  ite wclock  ts time  resSolver  max(ux) 
1410 1.72274175e+02 2.77265e-04 4.97315e-01 6.60706e-05 1.28524e+02
1420 1.73408535e+02 2.84337e-04 5.00088e-01 5.77981e-05 1.23632e+02
1430 1.74614137e+02 2.91267e-04 5.02992e-01 6.11655e-05 1.21509e+02
1440 1.76007825e+02 2.98676e-04 5.05968e-01 6.73744e-05 1.19598e+02
1450 1.77267975e+02 2.96238e-04 5.08927e-01 6.19003e-05 1.19485e+02
1460 1.78386216e+02 2.80517e-04 5.11852e-01 5.93954e-05 1.27153e+02
1470 1.79427984e+02 2.86268e-04 5.14649e-01 5.54834e-05 1.22848e+02
1480 1.80619080e+02 2.72879e-04 5.17535e-01 6.00429e-05 1.32162e+02
1490 1.81685556e+02 2.47169e-04 5.20120e-01 4.15922e-05 1.44112e+02
1500 1.82889551e+02 2.51230e-04 5.22587e-01 3.79693e-05 1.40057e+02
1510 1.84464283e+02 2.76942e-04 5.25231e-01 5.03716e-05 1.28702e+02
1520 1.86347906e+02 2.85826e-04 5.27996e-01 4.70499e-05 1.22889e+02
1530 1.87949887e+02 2.80066e-04 5.30860e-01 4.65888e-05 1.26672e+02
1540 1.89148732e+02 2.90935e-04 5.33678e-01 4.64204e-05 1.19495e+02
1550 1.90221277e+02 2.91728e-04 5.36616e-01 4.49708e-05 1.22899e+02
1560 1.91263457e+02 2.77842e-04 5.39440e-01 3.95180e-05 1.27200e+02
1570 1.92306198e+02 2.96719e-04 5.42294e-01 4.34714e-05 1.20333e+02
1580 1.93346675e+02 2.92738e-04 5.45239e-01 4.08672e-05 1.22514e+02
1590 1.94386614e+02 2.79047e-04 5.48070e-01 3.66892e-05 1.26588e+02
1600 1.95417569e+02 2.92356e-04 5.50909e-01 4.03226e-05 1.19820e+02
1610 1.96451189e+02 2.98190e-04 5.53935e-01 4.04636e-05 1.20474e+02
1620 1.97489055e+02 2.82206e-04 5.56811e-01 3.44981e-05 1.25439e+02
1630 1.98548790e+02 2.92654e-04 5.59702e-01 3.74009e-05 1.22056e+02
1640 1.99581569e+02 2.85768e-04 5.62571e-01 3.47340e-05 1.23661e+02
1650 2.00660430e+02 2.99015e-04 5.65506e-01 3.79670e-05 1.18762e+02
1660 2.01697304e+02 3.01223e-04 5.68522e-01 3.96793e-05 1.17778e+02
1670 2.02731619e+02 2.94494e-04 5.71515e-01 3.88531e-05 1.20694e+02
1680 2.03789059e+02 3.00001e-04 5.74462e-01 4.04515e-05 1.17695e+02
